"agegrp"	"occ_code"	"ranking"	"rate_abs"	"n"
11	2172	84	0.00310242895786274	890
12	2172	56	0.00401245838255826	934
13	2172	22	0.00889291563578074	2552
4	2173	73	0.00129705526995333	438
5	2173	116	0.00105295548738857	438
6	2173	115	0.00202663776240974	890
7	2173	125	0.000924718084280039	375
9	2173	109	0.0019116152599632	696
10	2173	98	0.0019022318427051	696
11	2173	83	0.00310242895786274	890
5	2232	82	0.00292327368188243	1216
6	2232	48	0.00696115914571525	3057
9	2232	80	0.00327666236370128	1193
11	2232	54	0.00504057558771856	1446
12	2232	64	0.00363870690581033	847
13	2232	75	0.00209429557096561	601
5	2242	96	0.00207225486330811	862
6	2242	32	0.00976884943903122	4290
7	2242	26	0.0108771505860247	4411
8	2242	76	0.00375870943443601	1497
9	2242	127	0.00115081435908704	419
10	2242	111	0.00124902291970723	457
13	2242	81	0.00161689375196014	464
5	2253	102	0.00163712942217265	681
6	2253	85	0.00345666980150336	1518
7	2253	69	0.00437453301736744	1774
8	2253	60	0.00570962274810119	2274
10	2253	95	0.0020689504381146	757
11	2253	110	0.00132463258875038	380
5	2261	76	0.0033487830911696	1393
6	2261	44	0.00771488622364517	3388
7	2261	50	0.00731883539771508	2968
8	2261	87	0.00300043939489047	1195
9	2261	100	0.00216430003570546	788
12	2261	41	0.00552894425947804	1287
13	2261	18	0.0110046346307976	3158
5	2263	64	0.00469502754993125	1953
6	2263	88	0.00326766875175054	1435
7	2263	61	0.00542747867600098	2201
8	2263	118	0.00108216684451698	431
9	2263	105	0.00199675904309374	727
10	2263	103	0.00153873064287784	563
11	2263	99	0.00186842912518475	536
12	2263	81	0.00237998066802706	554
5	2271	16	0.01486878924543	6185
6	2271	9	0.0175588806583612	7711
